,file,start,end,words,word_start_times,word_end_times,asr,reconame,transcript,asr_transcript,samplename,samplepath,finished
0,"17 1 2018 - 2. dio, 7. sjednica, 9. saziv [HlauTe_NK6U].wav",3207.7,3227.54,"['predsjedniče', 'hrvatskoga', 'sabora', 'uvaženi', 'kolega', 'klisović', 'evo', 'blic', 'odgovori', 'na', 'sve', 'tri', 'teme', 'a', 'što', 'se', 'tiče', 'onog', 'prvog', 'aspekta', 'dakle', 'izjave', 'uz', 'stajalište', 'eu', 'u', 'pripremi', 'za', 'vijeće', 'za', 'ljudska', 'prava', 'osim', 'nekih', 'komentara', 'internih', 'u', 'hrvatskoj', 'nisam', 'primijetio', 'da', 'je', 'bilo', 'tko', 'to', 'problematizirao', 'osobito', 'da', 'je', 'na']","[0, 0.71, 1.23, 1.69, 2.22, 2.56, 3.1, 3.92, 4.31, 4.78, 4.92, 5.17, 5.4, 5.97, 6.01, 6.19, 6.25, 6.86, 7.2, 7.56, 8.17, 8.6, 9.22, 9.51, 10.98, 11.11, 11.14, 11.65, 11.77, 12.11, 12.23, 12.59, 13.74, 14.4, 14.79, 15.38, 15.83, 15.9, 16.36, 16.67, 17.18, 17.28, 17.34, 17.6, 17.8, 17.99, 18.9, 19.33, 19.43, 19.71]","[0.71, 1.23, 1.69, 2.22, 2.56, 3.1, 3.56, 4.31, 4.78, 4.92, 5.17, 5.4, 5.94, 6.01, 6.19, 6.25, 6.58, 7.2, 7.56, 8.17, 8.57, 9.19, 9.51, 10.34, 11.11, 11.14, 11.65, 11.77, 12.11, 12.23, 12.59, 13.21, 14.37, 14.79, 15.38, 15.83, 15.9, 16.36, 16.67, 17.18, 17.28, 17.34, 17.6, 17.8, 17.99, 18.9, 19.33, 19.43, 19.49, 19.84]","['predsjedniče', 'hrvatskoga', 'sabora', 'uvaženi', 'kolega', 'klisović', 'evo', 'blic', 'odgovori', 'na', 'sve', 'tri', 'teme', 'a', 'što', 'se', 'tiče', 'onog', 'prvog', 'aspekta', 'dakle', 'izjave', 'uz', 'stajalište', 'eu', 'u', 'pripremi', 'za', 'vijeću', 'za', 'ljudska', 'prava', 'osim', 'nekih', 'komentara', 'internih', 'u', 'hrvatskoj', 'nisam', 'primijetio', 'da', 'je', 'bilo', 'ko', 'to', 'problematizira', 'osobito', 'da', 'je', 'bilo', 'na']",reco348,predsjedniče hrvatskoga sabora uvaženi kolega klisović evo blic odgovori na sve tri teme a što se tiče onog prvog aspekta dakle izjave uz stajalište eu u pripremi za vijeće za ljudska prava osim nekih komentara internih u hrvatskoj nisam primijetio da je bilo tko to problematizirao osobito da je na,predsjedniče hrvatskoga sabora uvaženi kolega klisović evo blic odgovori na sve tri teme a što se tiče onog prvog aspekta dakle izjave uz stajalište eu u pripremi za vijeću za ljudska prava osim nekih komentara internih u hrvatskoj nisam primijetio da je bilo ko to problematizira osobito da je bilo na,sample000.mp3,/home/rupnik/macocu/task8/sample/sample000.mp3,True
1,"06 12 2016 - 1. dio, 2. sjednica, 9. saziv [GVHBmUTMROo].wav",9453.64,9473.56,"['ulaz', 'u', 'sam', 'sustav', 'javne', 'nabave', 'i', 'naravno', 'da', 'će', 'tu', 'i', 'vlada', 'ali', 'i', 'podzakonski', 'akti', 'morati', 'jasnije', 'ono', 'što', 'sam', 'i', 'sam', 'rekao', 'odrediti', 'da', 'ne', 'uđemo', 'u', 'prostor', 'koji', 'se', 'onda', 'zove', 'crveno', 'i', 'ne', 'bi', 'smjeli', 'ući', 'u', 'taj', 'prostor', 'i', 'tu', 'će', 'biti', 'zaista', 'velika', 'odgovornost', 'na', 'čelnicima', 'od', 'lokalne', 'do', 'državne', 'razine', 'i']","[0, 0.52, 0.6, 0.87, 1.29, 1.59, 2.06, 2.11, 2.55, 2.71, 2.87, 3.34, 3.76, 4.56, 4.71, 4.8, 5.51, 5.74, 6.12, 7.33, 7.48, 7.6, 7.76, 7.79, 8.0, 8.41, 9.14, 9.38, 9.46, 9.82, 9.87, 10.81, 11.07, 11.24, 11.47, 11.69, 12.23, 12.28, 12.42, 12.5, 12.84, 13.14, 13.19, 13.35, 14.24, 14.39, 15.09, 15.23, 15.5, 15.83, 16.16, 16.84, 17.05, 17.8, 17.92, 18.65, 18.76, 19.24, 19.84]","[0.46, 0.6, 0.87, 1.29, 1.59, 2.06, 2.11, 2.55, 2.71, 2.87, 3.25, 3.43, 4.53, 4.71, 4.8, 5.51, 5.74, 6.12, 6.95, 7.48, 7.6, 7.76, 7.79, 8.0, 8.32, 9.11, 9.38, 9.46, 9.82, 9.87, 10.53, 11.07, 11.24, 11.47, 11.69, 12.23, 12.28, 12.42, 12.5, 12.84, 13.14, 13.19, 13.35, 13.83, 14.39, 15.05, 15.23, 15.5, 15.83, 16.16, 16.84, 17.05, 17.77, 17.92, 18.37, 18.76, 19.21, 19.81, 19.92]","['ulaz', 'u', 'sam', 'sustav', 'javne', 'nabave', 'i', 'naravno', 'da', 'će', 'tu', 'vlada', 'ali', 'i', 'podzakonski', 'aktiv', 'morati', 'jasnije', 'ono', 'što', 'sam', 'i', 'sa', 'rekao', 'odrediti', 'da', 'ne', 'uđemo', 'u', 'prostor', 'koji', 'se', 'onda', 'zove', 'crveno', 'i', 'ne', 'bi', 'smjeli', 'ući', 'u', 'taj', 'prostor', 'će', 'biti', 'zaista', 'velika', 'odgovornost', 'na', 'čelnicima', 'od', 'lokalne', 'državne', 'razine', 'i']",reco314,ulaz u sam sustav javne nabave i naravno da će tu i vlada ali i podzakonski akti morati jasnije ono što sam i sam rekao odrediti da ne uđemo u prostor koji se onda zove crveno i ne bi smjeli ući u taj prostor i tu će biti zaista velika odgovornost na čelnicima od lokalne do državne razine i,ulaz u sam sustav javne nabave i naravno da će tu vlada ali i podzakonski aktiv morati jasnije ono što sam i sa rekao odrediti da ne uđemo u prostor koji se onda zove crveno i ne bi smjeli ući u taj prostor će biti zaista velika odgovornost na čelnicima od lokalne državne razine i,sample001.mp3,/home/rupnik/macocu/task8/sample/sample001.mp3,True
2,"15 09 2017 - 5. sjednica, 9. saziv [wGcZ33lyWUY].wav",21078.47,21081.37,"['projekta', 'ili', 'ostvarivanja', 'tog', 'projekta']","[0, 0.91, 1.26, 2.2, 2.43]","[0.88, 1.23, 2.17, 2.43, 2.9]","['projekta', 'ili', 'ostvarivanja', 'tog', 'projekta']",reco153,projekta ili ostvarivanja tog projekta,projekta ili ostvarivanja tog projekta,sample002.mp3,/home/rupnik/macocu/task8/sample/sample002.mp3,True
3,"16 11 2017 - 6. sjednica, 9. saziv [xbgYVKmXxg8].wav",14985.39,15005.18,"['politički', 'angažira', 'on', 'je', 'priznao', 'da', 'je', 'to', 'istina', 'da', 'su', 'ga', 'nagovarali', 'ta', 'trojica', 'ljudi', 'znači', 'ivica', 'todorić', 'milan', 'kujundžić', 'i', 'tomislav', 'karamarko', 'međutim', 'da', 'je', 'on', 'odbio', 'i', 'nakon', 'što', 'je', 'odbio', 'da', 'su', 'mu', 'se', 'počele', 'događati', 'čudne', 'stvari', 'da', 'je', 'preko', 'određenih', 'medija', 'koji', 'su', 'pripadali', 'grupi']","[0, 0.65, 1.76, 2.01, 2.11, 2.57, 2.66, 2.73, 2.94, 3.5, 3.64, 3.78, 3.91, 4.52, 4.73, 5.15, 5.42, 5.73, 6.04, 7.04, 7.38, 7.95, 8.03, 8.49, 9.19, 9.7, 9.81, 9.89, 10.09, 10.94, 11.09, 11.5, 11.7, 11.8, 12.18, 12.3, 12.45, 12.55, 12.73, 13.25, 13.85, 14.22, 15.04, 15.22, 15.29, 15.59, 16.2, 16.7, 16.94, 17.11, 18.99]","[0.65, 1.37, 2.01, 2.11, 2.57, 2.66, 2.73, 2.94, 3.47, 3.64, 3.78, 3.91, 4.52, 4.73, 5.15, 5.42, 5.73, 6.04, 6.71, 7.38, 7.95, 8.03, 8.49, 9.16, 9.7, 9.81, 9.89, 10.09, 10.61, 11.09, 11.5, 11.7, 11.8, 12.18, 12.3, 12.45, 12.55, 12.73, 13.25, 13.85, 14.22, 14.76, 15.22, 15.29, 15.59, 16.2, 16.7, 16.94, 17.11, 18.0, 19.79]","['politički', 'angažira', 'on', 'je', 'priznao', 'da', 'je', 'to', 'istina', 'da', 'su', 'ga', 'nagovarali', 'ta', 'trojica', 'ljudi', 'znači', 'iamilankojunžić', 'i', 'tomislav', 'karamarko', 'međutim', 'da', 'je', 'on', 'odbio', 'i', 'nakon', 'što', 'je', 'odbio', 'da', 'su', 'mu', 'se', 'počele', 'događati', 'čudne', 'stvari', 'da', 'je', 'preko', 'određenih', 'medija', 'koji', 'su', 'pripadali', 'štada', 'štiri', 'a', 'grupi']",reco111,politički angažira on je priznao da je to istina da su ga nagovarali ta trojica ljudi znači ivica todorić milan kujundžić i tomislav karamarko međutim da je on odbio i nakon što je odbio da su mu se počele događati čudne stvari da je preko određenih medija koji su pripadali grupi,politički angažira on je priznao da je to istina da su ga nagovarali ta trojica ljudi znači iamilankojunžić i tomislav karamarko međutim da je on odbio i nakon što je odbio da su mu se počele događati čudne stvari da je preko određenih medija koji su pripadali štada štiri a grupi,sample003.mp3,/home/rupnik/macocu/task8/sample/sample003.mp3,True
4,"11 10 2018 - 2. dio, 9. sjednica, 9. saziv [P_Mg7lLr7cA].wav",9967.92,9974.35,"['ja', 'moram', 'reći', 'da', 'sam', 'zahvalan', 'vama', 'koji', 'ste', 'pokrenuli', 'moj', 'postupak']","[0, 0.88, 1.32, 2.18, 2.25, 2.41, 2.95, 3.47, 3.62, 3.75, 4.31, 4.64]","[0.06, 1.09, 1.61, 2.25, 2.41, 2.95, 3.44, 3.62, 3.75, 4.31, 4.64, 5.38]","['da', 'sam', 'zahvala', 'vama', 'koji', 'ste', 'pokrenuli', 'moj', 'postupak']",reco532,ja moram reći da sam zahvalan vama koji ste pokrenuli moj postupak,da sam zahvala vama koji ste pokrenuli moj postupak,sample004.mp3,/home/rupnik/macocu/task8/sample/sample004.mp3,True
5,"23 1 2019 - 2. dio, 11. sjednica, 9. saziv [GW6f40F5DY8].wav",11124.44,11143.07,"['propis', 'kroz', 'koji', 'se', 'usklađujete', 'sa', 'svim', 'onim', 'što', 'se', 'u', 'međuvremenu', 'izdešavalo', 'i', 'u', 'tom', 'smislu', 'ćemo', 'podržati', 'ovu', 'izmjenu', 'i', 'dopunu', 'zakona', 'hvala', 'hvala', 'i', 'vama', 'ispred', 'kluba', 'zastupnika', 'esdepea', 'govoriti', 'će', 'gospodin', 'alen', 'prelec']","[0, 1.11, 1.33, 1.96, 2.14, 2.9, 3.03, 3.32, 3.52, 3.71, 3.87, 3.9, 4.84, 5.64, 5.75, 5.78, 5.99, 6.4, 6.65, 7.24, 7.43, 7.83, 8.43, 8.85, 9.57, 10.24, 10.44, 10.47, 11.65, 11.97, 12.2, 12.85, 13.48, 13.81, 15.19, 15.83, 16.22]","[0.44, 1.33, 1.69, 2.14, 2.9, 3.03, 3.32, 3.52, 3.71, 3.87, 3.9, 4.64, 5.64, 5.75, 5.78, 5.99, 6.4, 6.65, 7.24, 7.43, 7.83, 8.13, 8.85, 9.38, 10.24, 10.44, 10.47, 11.07, 11.97, 12.2, 12.85, 13.45, 13.81, 14.22, 15.75, 16.13, 16.58]","['propis', 'kroz', 'koju', 'se', 'usklađujete', 'sa', 'svim', 'onim', 'što', 'se', 'u', 'međuvremenu', 'izdešavalo', 'i', 'u', 'tom', 'smislu', 'ćemo', 'podržati', 'ovu', 'izmjenu', 'i', 'dopunu', 'zakonapkuba', 'zastupnika', 'esdepea', 'govoriti', 'će', 'gospodin', 'anen', 'prelezlite']",reco312,propis kroz koji se usklađujete sa svim onim što se u međuvremenu izdešavalo i u tom smislu ćemo podržati ovu izmjenu i dopunu zakona hvala hvala i vama ispred kluba zastupnika esdepea govoriti će gospodin alen prelec,propis kroz koju se usklađujete sa svim onim što se u međuvremenu izdešavalo i u tom smislu ćemo podržati ovu izmjenu i dopunu zakonapkuba zastupnika esdepea govoriti će gospodin anen prelezlite,sample005.mp3,/home/rupnik/macocu/task8/sample/sample005.mp3,True
7,"29 4 2020 - 2. dio, 16. sjednica, 9. saziv [YaBXOzUUd-0].wav",4979.44,4998.83,"['mrtvo', 'slovo', 'na', 'papiru', 'a', 'onda', 'se', 'to', 'klatno', 'zaljuljalo', 'na', 'drugu', 'stranu', 'i', 'ovrhe', 'su', 'i', 'za', 'najmanje', 'iznose', 'rasle', 'u', 'nebo', 'sjedale', 'bez', 'da', 'su', 'dužnici', 'o', 'tome', 'uopće', 'bili', 'informirani', 'utjerivali', 'u', 'krajnjoj', 'liniji', 'strah', 'u', 'kosti', 'ljudima', 'svaki', 'put', 'kad', 'im']","[0, 0.34, 0.66, 0.77, 1.86, 2.01, 2.34, 2.98, 3.1, 3.56, 4.13, 4.26, 4.59, 5.54, 5.71, 6.2, 6.38, 6.45, 6.6, 7.14, 8.13, 8.8, 8.89, 9.98, 10.93, 11.27, 11.4, 11.56, 12.18, 12.23, 12.51, 12.86, 13.14, 14.55, 15.3, 15.35, 15.78, 16.1, 16.43, 16.52, 16.9, 17.73, 18.29, 19.01, 19.3]","[0.34, 0.66, 0.77, 1.48, 2.01, 2.34, 2.95, 3.1, 3.56, 4.13, 4.26, 4.59, 5.21, 5.71, 6.2, 6.38, 6.45, 6.6, 7.14, 8.1, 8.77, 8.89, 9.24, 10.85, 11.27, 11.4, 11.56, 12.18, 12.23, 12.51, 12.86, 13.14, 14.33, 15.3, 15.35, 15.78, 16.1, 16.43, 16.52, 16.9, 17.7, 18.29, 18.77, 19.3, 19.39]","['mrtvo', 'slovo', 'na', 'papiru', 'a', 'onda', 'se', 'toklatno', 'zaljuljalo', 'na', 'drugu', 'stranu', 'i', 'ovrhe', 'su', 'i', 'za', 'najmanje', 'iznose', 'rasle', 'u', 'nebo', 'sjedala', 'bez', 'da', 'su', 'dužnici', 'o', 'tome', 'uopće', 'bili', 'informirani', 'utjerivali', 'u', 'krajnjuj', 'liniji', 'strahu', 'koste', 'ljudima', 'svaki', 'put', 'kad', 'im']",reco281,mrtvo slovo na papiru a onda se to klatno zaljuljalo na drugu stranu i ovrhe su i za najmanje iznose rasle u nebo sjedale bez da su dužnici o tome uopće bili informirani utjerivali u krajnjoj liniji strah u kosti ljudima svaki put kad im,mrtvo slovo na papiru a onda se toklatno zaljuljalo na drugu stranu i ovrhe su i za najmanje iznose rasle u nebo sjedala bez da su dužnici o tome uopće bili informirani utjerivali u krajnjuj liniji strahu koste ljudima svaki put kad im,sample007.mp3,/home/rupnik/macocu/task8/sample/sample007.mp3,True
10,"26 10 2017 - 2. dio, 5. sjednica, 9. saziv [MLOFJlAByCI].wav",7421.9,7434.09,"['kolega', 'podolnjak', 'vi', 'kao', 'stručnjak', 'ustavnopravni', 'govorili', 'ste', 'o', 'činjenicama', 'da', 'je', 'hrvatsko', 'pravosuđe', 'sudstvo']","[0, 0.37, 1.78, 1.89, 2.08, 2.97, 3.85, 4.16, 5.11, 5.24, 5.93, 6.01, 7.25, 7.66, 9.13]","[0.37, 0.99, 1.89, 2.08, 2.68, 3.85, 4.16, 4.76, 5.24, 5.93, 6.01, 6.27, 7.66, 8.52, 10.17]","['kolega', 'pogolnjak', 'i', 'kao', 'stručnjak', 'ustan', 'pravni', 'ovorli', 'ste', 'o', 'činjenicama', 'je', 'hrvatsko', 'pravosuđe', 'sudstvo']",reco245,kolega podolnjak vi kao stručnjak ustavnopravni govorili ste o činjenicama da je hrvatsko pravosuđe sudstvo,kolega pogolnjak i kao stručnjak ustan pravni ovorli ste o činjenicama je hrvatsko pravosuđe sudstvo,sample010.mp3,/home/rupnik/macocu/task8/sample/sample010.mp3,True
11,"16 1 2020 - 16. sjednica, 9. saziv [rC8whgT9jrU].wav",7243.51,7262.11,"['svaka', 'općina', 'i', 'svaki', 'grad', 'ne', 'mora', 'pisati', 'erha', 'da', 'bi', 'bila', 'država', 'u', 'pravom', 'smislu', 'riječi', 'također', 'isto', 'kolega', 'demetlika', 'je', 'upozorio', 'i', 'na', 'činjenicu', 'tog', 'zemljišta', 'koje', 'ostaje', 'u', 'vlasništvu', 'erha', 'ko', 'ga', 'održava', 'znate', 'i', 'sami', 'koliko', 'traje', 'postupak']","[0, 0.34, 0.66, 0.7, 1.04, 1.32, 1.49, 1.68, 2.06, 4.04, 4.22, 4.35, 5.59, 5.94, 6.01, 6.3, 6.75, 7.09, 7.51, 7.69, 7.97, 8.43, 8.51, 8.98, 9.01, 9.14, 9.68, 9.9, 10.36, 10.57, 10.86, 10.94, 12.38, 13.14, 13.64, 13.73, 14.6, 14.94, 14.99, 15.4, 16.26, 16.55]","[0.34, 0.66, 0.7, 1.04, 1.32, 1.49, 1.68, 2.06, 2.54, 4.22, 4.35, 4.81, 5.94, 6.01, 6.3, 6.75, 7.09, 7.51, 7.69, 7.97, 8.43, 8.51, 8.98, 9.01, 9.14, 9.68, 9.9, 10.36, 10.57, 10.86, 10.94, 11.7, 13.07, 13.44, 13.73, 14.44, 14.94, 14.99, 15.4, 16.26, 16.55, 17.23]","['svako', 'općina', 'i', 'svaki', 'grad', 'ne', 'mora', 'to', 'bitine', 'mora', 'pisati', 'erhaa', 'd', 'da', 'bi', 'bila', 'država', 'u', 'pravom', 'smislu', 'riječi', 'također', 'isto', 'kolega', 'demetlika', 'je', 'upozorio', 'na', 'činjenicu', 'tog', 'zemljišta', 'koje', 'ostaje', 'u', 'vlasništvu', 'erhaa', 'koga', 'od', 'država', 'znate', 'sami', 'koliko', 'traje', 'postupak']",reco412,svaka općina i svaki grad ne mora pisati erha da bi bila država u pravom smislu riječi također isto kolega demetlika je upozorio i na činjenicu tog zemljišta koje ostaje u vlasništvu erha ko ga održava znate i sami koliko traje postupak,svako općina i svaki grad ne mora to bitine mora pisati erhaa d da bi bila država u pravom smislu riječi također isto kolega demetlika je upozorio na činjenicu tog zemljišta koje ostaje u vlasništvu erhaa koga od država znate sami koliko traje postupak,sample011.mp3,/home/rupnik/macocu/task8/sample/sample011.mp3,True
13,"10 10 2018 - 2. dio, 9. sjednica, 9. saziv [y5LrUr3SHIg].wav",20045.42,20065.31,"['vrijeme', 'multinacionalne', 'neke', 'kompanije', 'strane', 'kompanije', 'koje', 'dolaze', 'u', 'hrvatsku', 'kažu', 'pa', 'vaš', 'zakon', 'o', 'zaštiti', 'na', 'radu', 'nama', 'nije', 'uopće', 'problem', 'mi', 'želimo', 'još', 'veću', 'zaštitu', 'na', 'radu', 'nego', 'što', 'je', 'u', 'hrvatskoj', 'jer', 'nama', 'je', 'u', 'interesu', 'da', 'nam', 'radnik', 'bude', 'zaštićen', 'da', 'bude', 'zdrav', 'da', 'može', 'doći', 'na', 'posao', 'i', 'raditi', 'nama', 'nije', 'cilj', 'da', 'nam', 'se']","[0, 0.82, 1.71, 1.96, 2.55, 3.08, 3.64, 3.87, 4.31, 4.37, 4.78, 5.05, 5.2, 5.43, 5.83, 5.87, 6.22, 6.35, 6.66, 6.96, 7.2, 7.5, 7.83, 7.94, 8.32, 8.59, 9.27, 9.85, 10.01, 10.64, 11.14, 11.4, 11.67, 11.76, 12.81, 12.98, 13.21, 13.28, 13.35, 13.8, 13.92, 14.07, 14.38, 14.65, 15.53, 15.68, 16.0, 16.57, 16.73, 17.06, 17.43, 17.54, 17.97, 18.02, 18.36, 18.6, 18.85, 19.12, 19.25, 19.65]","[0.79, 1.71, 1.96, 2.55, 3.08, 3.64, 3.87, 4.31, 4.37, 4.78, 5.05, 5.2, 5.43, 5.83, 5.87, 6.22, 6.35, 6.66, 6.96, 7.2, 7.5, 7.83, 7.94, 8.32, 8.59, 9.2, 9.85, 10.01, 10.48, 11.11, 11.4, 11.67, 11.76, 12.37, 12.98, 13.21, 13.28, 13.35, 13.8, 13.92, 14.07, 14.38, 14.65, 15.33, 15.68, 16.0, 16.47, 16.73, 17.06, 17.43, 17.54, 17.97, 18.02, 18.36, 18.6, 18.85, 19.12, 19.25, 19.46, 19.89]","['vrijeme', 'multinacionalnen', 'kompanije', 'strane', 'kompanije', 'koju', 'dolaze', 'u', 'hrvatsku', 'kažu', 'pa', 'vaš', 'zakon', 'o', 'zašti', 'na', 'radu', 'nama', 'nije', 'uopće', 'problem', 'mi', 'želimo', 'još', 'veću', 'zaštitu', 'na', 'radu', 'nego', 'što', 'je', 'u', 'hrvatskoj', 'jer', 'nama', 'je', 'u', 'interesu', 'da', 'nam', 'radnik', 'bude', 'zaštićen', 'da', 'bude', 'zdrav', 'da', 'može', 'doći', 'i', 'na', 'posao', 'i', 'raditi', 'nama', 'nije', 'cilj', 'da', 'nam', 'se']",reco128,vrijeme multinacionalne neke kompanije strane kompanije koje dolaze u hrvatsku kažu pa vaš zakon o zaštiti na radu nama nije uopće problem mi želimo još veću zaštitu na radu nego što je u hrvatskoj jer nama je u interesu da nam radnik bude zaštićen da bude zdrav da može doći na posao i raditi nama nije cilj da nam se,vrijeme multinacionalnen kompanije strane kompanije koju dolaze u hrvatsku kažu pa vaš zakon o zašti na radu nama nije uopće problem mi želimo još veću zaštitu na radu nego što je u hrvatskoj jer nama je u interesu da nam radnik bude zaštićen da bude zdrav da može doći i na posao i raditi nama nije cilj da nam se,sample013.mp3,/home/rupnik/macocu/task8/sample/sample013.mp3,True
